"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"17507435",1.4128327999919,8.24691629956149,13.5551805933321,2.30433116080913e-09,1.43288728869045e-07,11.8450486459906
"17504138",2.1573302563554,6.86410433753869,13.5480684115116,2.31998108834875e-09,1.43288728869045e-07,11.8380596879233
"17467209",-1.20243399863505,6.77225652461917,-13.4319453747374,2.59220992085177e-09,1.58468669753296e-07,11.7234685945527
"17396020",2.30354999165822,7.54730572990328,13.2697709216703,3.03091095307171e-09,1.83416035554067e-07,11.5619036400174
"17317652",-1.40050384742104,9.22162047227708,-13.2477859101106,3.09623256904195e-09,1.85495293211303e-07,11.5398624560634
"17368685",1.34627666545724,7.96992778293378,13.2088501712107,3.21563303296866e-09,1.90741163371438e-07,11.5007452365897
"17235915",1.2333350421135,10.5338677878055,13.1887064101705,3.27932618368441e-09,1.92612187906405e-07,11.4804663188992
"17422587",1.09516502367651,9.02155021907732,13.1360145169165,3.45238704091687e-09,1.99048047637083e-07,11.4272872462309
"17395079",1.61855931997929,8.09330547181067,13.1262095018885,3.48565271350272e-09,1.99048047637083e-07,11.4173701716577
"17469705",-1.16791200726544,8.05114046805264,-13.1195003304476,3.50861205118188e-09,1.99048047637083e-07,11.410580442279
"17227764",-2.09011210178464,8.44333374073362,-13.1156682224095,3.52179820556347e-09,1.99048047637083e-07,11.4067009058402
"17531705",1.71825290944006,8.90013169262234,13.0903316586075,3.61032210250966e-09,2.0214429641248e-07,11.3810248255819
"17338472",1.17446896484206,9.07063764607008,13.0261119946347,3.84551091536673e-09,2.13319036055205e-07,11.3157420477
"17246803",1.57505633915709,7.78091373654909,13.0030633514162,3.93386309903327e-09,2.16218108498241e-07,11.2922407074502
"17502573",1.38490453494261,9.99627112939119,12.9852884395637,4.00347812347832e-09,2.18043976706896e-07,11.2740909124093
"17482943",1.81953747791177,7.9633950977926,12.8854142795697,4.41987606640969e-09,2.38553851476221e-07,11.1716908726412
"17511259",1.29990954404709,8.92217092605922,12.8170795687324,4.73126294373248e-09,2.53080324070547e-07,11.1012146758653
"17256129",1.93430190540204,6.73034073507979,12.754656171266,5.03621739440629e-09,2.67008658494585e-07,11.03653899988
"17468573",1.39613971573484,8.09296880485141,12.7189649294115,5.21994398971397e-09,2.74321793354179e-07,10.9994321775332
"17375308",-1.32508623818576,6.07373848349637,-12.6809513828464,5.42351410308318e-09,2.82541504274533e-07,10.959808146756
"17335770",-1.14545562323037,9.5284795244719,-12.6387653862536,5.65938417808539e-09,2.92287677680255e-07,10.9157102122819
"17328432",-1.14146098489951,8.15779929001233,-12.560554260669,6.12611807706397e-09,3.13688661535814e-07,10.8336053024973
