"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"17339772",-3.44355109788577,5.74521621317328,-19.7730647015409,1.60539633667058e-11,1.22551687138449e-09,16.8499887592597
"17357671",3.38025116934866,6.54605287203025,19.7488879089677,1.63185202925912e-11,1.22551687138449e-09,16.833239376571
"17254171",2.39127053641167,6.42857033663915,19.7447042391878,1.63647721099582e-11,1.22551687138449e-09,16.8303388728742
"17333347",2.24324094022629,11.460731670249,19.7010650077842,1.68556680409945e-11,1.23204269313544e-09,16.8000469800493
"17441037",2.25552983875805,9.38374565446138,19.7004050602633,1.68632116236197e-11,1.23204269313544e-09,16.7995883602137
"17361850",2.36392215534743,7.40803563460528,19.628535375535,1.77067456348849e-11,1.27808569998308e-09,16.74955038774
"17289085",-1.87845713077861,7.17455466792032,-19.552822863358,1.86444400135453e-11,1.30894094198871e-09,16.6966360493287
"17312686",4.49096186344294,6.96701294405553,19.5492640051393,1.86898039938972e-11,1.30894094198871e-09,16.6941437227424
"17345124",2.51336524377958,8.43824314689109,19.5414617572445,1.87896713421848e-11,1.30894094198871e-09,16.6886780763428
"17515074",2.56005387698297,9.58218530949873,19.4830204949712,1.95561135589093e-11,1.3466744405911e-09,16.6476684597241
"17298041",1.68724641783246,8.33507671921608,19.4423348540211,2.01094104354345e-11,1.36903952180328e-09,16.6190449928661
"17430894",1.60331776315387,9.71261366501659,19.4233908258149,2.03727302700583e-11,1.37112181721199e-09,16.6056967205569
"17336432",1.88181737212412,9.59481027179126,19.4074105176266,2.05977238439458e-11,1.37112181721199e-09,16.5944265197947
"17434023",3.3669324300322,9.58365526636585,19.182998355813,2.40544034886355e-11,1.58362561868588e-09,16.4351636620975
"17418540",2.75824206429099,8.19451904397885,19.1619045791158,2.44098627731962e-11,1.58955965080672e-09,16.4200973848575
"17358544",3.38881960813558,8.25430205586803,19.0884321323623,2.56925172112228e-11,1.65509538292942e-09,16.3674891507019
"17358797",2.84602048888664,7.68629245575621,19.0095568307229,2.71501643038251e-11,1.73038972706613e-09,16.3107856726422
"17409075",2.97902488663507,8.65295966007904,18.9756710071341,2.78033371223787e-11,1.75336623894916e-09,16.2863526679941
"17371374",2.35486985689628,8.75934300376531,18.8668857469578,3.00163866885412e-11,1.87321013178178e-09,16.2076178790666
"17340307",-1.81538875983057,6.52006068068961,-18.7447850776694,3.27268558141025e-11,2.0044164578979e-09,16.1187032522232
"17332766",-2.33549424640389,7.00826740335646,-18.7421576348519,3.27879841218485e-11,2.0044164578979e-09,16.1167835758845
"17408024",1.54758089657028,11.0687483121035,18.7186326536758,3.33407748894633e-11,2.01762204406843e-09,16.0995836482058
"17256225",-2.15112911077669,6.73399316909753,-18.675615741957,3.43775395166461e-11,2.05955839244227e-09,16.0680766404754
"17256129",2.80473765405646,6.73034073507979,18.4942507310708,3.91435445328168e-11,2.3218710425357e-09,15.9344387827186
"17366275",1.97524332323672,8.9597401457637,18.4746049701611,3.97007463581841e-11,2.33183501403805e-09,15.9198846808935
"17323838",-2.48002270560273,5.80222245642719,-18.4062881194969,4.17053915471366e-11,2.42144789312026e-09,15.8691537159047
"17450501",2.49522353557337,8.15995458045764,18.3953983612886,4.20348157043077e-11,2.42144789312026e-09,15.8610498809828
"17232332",-2.01619114114992,6.36409501185164,-18.2882175431186,4.54297426060536e-11,2.59209131383683e-09,15.7810341025355
"17305748",2.20175319632111,8.47509233295414,18.2413809989451,4.70043259149027e-11,2.65663128826587e-09,15.745922210095
"17454166",1.71525300821288,10.1631078246131,18.1739880431593,4.93732594178524e-11,2.76444109506873e-09,15.6952428326504
"17284696",-1.89369523915143,5.80656583248228,-18.1321898104259,5.09064392949497e-11,2.82389331311152e-09,15.6637171158102
"17225815",-2.25875967390351,7.81855005457588,-18.1013182370989,5.2071490353924e-11,2.86202108908586e-09,15.640386502479
"17212252",-2.47941393891668,5.45768685838882,-18.0241510905313,5.51102520311509e-11,3.00150472653296e-09,15.5818964857329
"17218328",-1.80305622838504,7.41189953685571,-17.9672784457148,5.74710401123828e-11,3.10188289471428e-09,15.5386305501992
"17429933",2.39295938332876,8.11901542274971,17.9083854944269,6.00300952630669e-11,3.21107411358066e-09,15.4936850981439
"17478301",-1.82314257625688,6.17089045843124,-17.8922997777319,6.07500614760258e-11,3.22082848055638e-09,15.4813836043315
"17531260",2.00037000948675,7.59190407017828,17.8249068729505,6.38683977448964e-11,3.35645237622521e-09,15.4297264620402
"17274540",-2.09827180426553,7.38527182549593,-17.7642209609639,6.68231223847138e-11,3.48119414092887e-09,15.3830455892372
"17385085",1.7631088037243,7.96310901065096,17.5179525667614,8.04026034253681e-11,4.15251721656362e-09,15.1919899458193
"17244439",-1.56219780253468,8.71514730276534,-17.4981180988161,8.16180308561301e-11,4.15791309276831e-09,15.176487963078
"17339013",1.79467062318317,10.2234614352192,17.493640297647,8.18951335247305e-11,4.15791309276831e-09,15.1729858784903
"17375308",-1.82593867815266,6.07373848349637,-17.4740623956784,8.31185557351688e-11,4.18456527234787e-09,15.15766371095
"17509101",1.84339935343055,9.49647133958286,17.4077287335058,8.74111789459142e-11,4.33903988149861e-09,15.1056242109286
"17367652",3.18119558392217,5.85034101374186,17.4043598074496,8.76354240796748e-11,4.33903988149861e-09,15.1029760821033
"17450461",4.297218303638,6.23231473143503,17.3545227517807,9.10255702469549e-11,4.46995238811071e-09,15.0637433044845
"17394153",1.48076912417934,7.13726138861352,17.2537029982132,9.83202682609964e-11,4.77636640857594e-09,14.9840385901418
"17350925",3.19948840564139,6.10160267282639,17.2465655938103,9.88598622372587e-11,4.77636640857594e-09,14.9783788001533
"17221633",-1.55129082680516,9.25699386030888,-17.2212830416172,1.0079686596947e-10,4.83099219218478e-09,14.9583119715368
"17454226",-2.11021847777609,7.75893793684824,-17.2014447865336,1.02345167958501e-10,4.8662690574554e-09,14.9425461975692
"17525578",-1.72351331547487,9.02710891830554,-17.1177197490235,1.09165376126276e-10,5.14968321553167e-09,14.8758130855541
"17238367",2.10449678643296,9.37558425203375,17.0081455007279,1.18834579322034e-10,5.52856344939841e-09,14.7879959449017
"17307269",2.30136283408863,8.05113909854762,16.9978143694665,1.19792370291324e-10,5.52856344939841e-09,14.7796878548155
"17333023",1.63486181545086,8.74673477108715,16.9790066186286,1.21557278337123e-10,5.52856344939841e-09,14.764550453482
"17411761",-1.98658681742229,5.54631705932957,-16.9776959997949,1.21681297944537e-10,5.52856344939841e-09,14.7634949971104
"17336213",2.34777304015851,9.14386516484568,16.9708692936513,1.22329478392732e-10,5.52856344939841e-09,14.7579960945795
"17330099",2.07394005615263,9.94822467908533,16.9666291961101,1.22733924014353e-10,5.52856344939841e-09,14.7545796219537
"17358517",2.20172452125197,9.20178730804105,16.952396461188,1.24102014379891e-10,5.54847140410391e-09,14.7431054934381
"17467209",-1.51652708521623,6.77225652461917,-16.9405630504936,1.25251889791258e-10,5.55840053140316e-09,14.7335585381778
"17214948",1.63959011201598,10.0270610431128,16.7786432162645,1.42183902364398e-10,6.26340999312579e-09,14.602272289078
"17539303",-1.47186903466175,7.57350429669885,-16.7478107819736,1.45676994110175e-10,6.32428481648298e-09,14.5771342477663
"17246803",2.02865615851131,7.78091373654909,16.7478101522896,1.45677066378677e-10,6.32428481648298e-09,14.5771337339214
"17396020",2.89876958605978,7.54730572990328,16.6985776306197,1.51446360788483e-10,6.50744517820194e-09,14.5369010946302
"17269595",2.04079435896911,8.8324727417652,16.693388813377,1.52068490226719e-10,6.50744517820194e-09,14.5326541456892
"17256734",1.70392019387804,9.53970114358952,16.6137899530583,1.61962582569923e-10,6.88168675302417e-09,14.467343948616
"17385797",2.59788475665527,9.35653573567388,16.5564597973369,1.69514040494321e-10,7.15182124367236e-09,14.4201180122606
"17212750",1.98909194685756,10.6177121327812,16.5353681147705,1.72386183243263e-10,7.22213722944329e-09,14.4027040434678
"17449939",-1.82462069067139,7.33582452242472,-16.5014012532742,1.77121505051874e-10,7.36899261642902e-09,14.374614956331
"17317652",-1.74162376481581,9.22162047227708,-16.4745415121336,1.80964453246223e-10,7.43957887138744e-09,14.3523637591011
"17335540",1.90207569233033,9.66242663659197,16.4722135020267,1.81301705094737e-10,7.43957887138744e-09,14.3504335431814
"17226771",1.48844360834419,9.84784833533864,16.4623398797514,1.82739553228518e-10,7.44756913872146e-09,14.3422441428299
"17291005",-2.26781429180745,7.40657024082012,-16.4517310694476,1.84298059370342e-10,7.46033563302512e-09,14.3334397013755
