"","none.1","none.2","none.3","saprophyte.1","saprophyte.2","saprophyte.3","attenuated.1","attenuated.2","attenuated.3","virulent.1","virulent.2","virulent.3"
"17418724",5.30312420631852,5.32903804224626,5.5249765884406,5.13620844273656,5.02134597299264,5.23029791639531,5.16844222993759,5.23955808420821,5.01973425812307,5.23617949766738,5.28208992432637,4.92633121484228
"17498510",4.92938499222031,5.12391770100592,5.21104554314859,4.84534827904583,5.27068424854283,5.12867699901407,4.86203154051046,5.34302661500679,5.09895650767591,4.80119752687849,5.10301879123908,4.93746232655082
"17466279",2.94214990403416,2.8304893926611,3.21219220331817,2.89515117918436,3.06379660321874,3.14443070912885,2.90417757528843,3.09655620654333,3.32198878400198,3.24085706479789,3.24671327666298,3.17986420617091
"17230067",7.85925109708009,7.57634801356289,7.52648469895359,8.46178200360389,7.84103696105746,8.22623501453896,9.93354177165087,9.74350528927398,9.57574611373287,9.87263826111704,9.75255001122998,9.77409356719864
"17340584",5.17971206805228,5.30208155029996,5.0654323447452,5.51211034133157,5.25183609971533,5.40836622698362,4.89489234909098,5.56807782788715,5.11856769380198,5.32884571902609,4.96932623617352,5.39214140317054
"17340599",5.58061541972105,5.55446763001992,5.59847528509745,5.17407298158471,5.28603239936148,5.31425481874223,4.91054267269088,5.35726897515836,5.45613507185724,5.71242628014402,5.11206337789145,5.35212299493908
"17491417",6.32670148224457,5.99605428594932,6.00676085807641,6.30896549001918,5.76459460470541,5.87694734792244,5.85527031711072,5.60850679609279,5.56168071741574,5.93153524306275,5.57596339220436,5.67282030092951
"17417107",5.53675559549137,5.56084693793996,5.55813766766886,5.26266290074875,5.19840290027431,4.98146569008853,5.11752709533746,5.1389261596336,4.98571017557435,4.87299751678306,5.10105368003975,5.08034571059867
"17449820",5.01672419487746,5.1657441489926,5.3226395301662,5.0077672688867,4.72879192375395,5.14481722253509,4.83434631281248,5.21672930889251,4.80244934043261,5.20359898478692,5.01626361057171,4.83352645316471
"17366244",10.4317548722677,10.1454013148582,10.2256175234938,10.3521035215045,10.4540274580492,10.3076751384319,10.8939999259843,10.8982502514999,11.0947487015789,11.1221269199116,11.1011159298335,11.0542228103918
"17415294",6.7005371541728,6.70886270051524,6.75273118917553,6.97421884530707,6.94708643291768,6.74492558645135,7.05853751741712,7.12811193549632,6.7963176080149,6.94009120805812,7.00202749693771,7.03134996415474
"17240303",5.14983342286911,5.14813693377591,4.92542333125265,5.72555678671153,5.6753478024001,5.29787838713603,5.65739538546952,5.74050373807769,5.60946355337655,5.67370859515678,5.83201458648552,5.26086520381811
"17547719",6.87606721718251,7.20081889727541,7.34618613474948,6.83562402783768,7.09495811691445,6.68148212899035,6.76009603098704,6.93204875023643,6.82973466075357,6.56537827943266,7.27967389441438,6.51253724567631
"17298823",5.69753645232153,5.98797695571478,6.01384349174548,5.85003220220776,5.94221182673356,5.97845186365528,5.53971340722602,5.34149073106906,5.71222759867262,5.56213533030381,5.10914183382883,5.42991561589142
"17260396",5.86268818495445,5.77866266202012,5.71726523604839,6.65353438121163,6.42101860453662,6.52862175991987,6.20839994575448,5.99401369470954,6.15982355614085,6.37013027786636,5.75047159106802,5.79672911704158
"17341161",7.1618984265509,7.29971627680933,7.12051425954767,6.72497677201195,6.47647035916422,6.5275539034336,6.60569036491063,6.25323325178618,6.37797637452458,6.55183004081038,6.23859699695738,6.2328698936773
"17417808",5.12016947289147,5.37962317748631,5.44509580209074,5.49650635463425,5.55557038434658,5.43821762352665,5.02044608123074,5.40570485199353,5.28851205300028,5.15900996043522,5.35668749867587,5.33553547482239
"17458862",3.90706270211719,3.6816001858438,3.76026502905162,3.95469887159465,4.14341308595153,3.82498088663858,3.99795982861538,4.18916961730787,4.27401834087308,4.2116666606661,3.95229833464644,4.11880541676673
